"Date","Year","Month","Day","Data Quality","Tmax","Max Temp Flag","Tmin","Min Temp Flag","Tmean","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Rain","Total Rain Flag","Snow","Total Snow Flag","Precip","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Max_gust","Spd of Max Gust Flag"
"2017-01-01","2017","01","01","‡","-2.4","","-8.7","","-5.6","","23.6","","0.0","","0.0","","2.8","","2.4","","12","","28","","54",""
"2017-01-02","2017","01","02","‡","1.8","","-10.2","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","6","","","","<31",""
"2017-01-03","2017","01","03","‡","0.5","","-5.8","","-2.7","","20.7","","0.0","","14.2","","3.6","","17.4","","6","","5","","43",""
"2017-01-04","2017","01","04","‡","2.5","","-5.6","","-1.6","","19.6","","0.0","","0.2","","9.0","","8.0","","12","","24","","85",""
"2017-01-05","2017","01","05","‡","-5.3","","-10.7","","-8.0","","26.0","","0.0","","0.0","","0.0","T","0.0","T","13","","24","","76",""
"2017-01-06","2017","01","06","‡","-7.7","","-16.4","","-12.1","","30.1","","0.0","","0.0","","0.0","T","0.0","T","13","","10","","41",""
"2017-01-07","2017","01","07","‡","-9.6","","-18.9","","-14.3","","32.3","","0.0","","0.0","","0.0","","0.0","","13","","","","<31",""
"2017-01-08","2017","01","08","‡","-10.9","","-20.3","","-15.6","","33.6","","0.0","","0.0","","0.0","","0.0","","12","","30","","37",""
"2017-01-09","2017","01","09","‡","-7.0","","-21.9","","-14.5","","32.5","","0.0","","0.0","","0.4","","0.4","","11","","15","","41",""
"2017-01-10","2017","01","10","‡","1.3","","-8.3","","-3.5","","21.5","","0.0","","1.2","","1.0","","2.2","","11","","15","","63",""
"2017-01-11","2017","01","11","‡","5.7","","1.2","","3.5","","14.5","","0.0","","3.0","","0.0","","3.0","","10","","22","","93",""
"2017-01-12","2017","01","12","‡","5.0","","-0.9","","2.1","","15.9","","0.0","","10.0","","0.0","","10.0","","4","","26","","57",""
"2017-01-13","2017","01","13","‡","-0.4","","-14.9","","-7.7","","25.7","","0.0","","0.4","","0.0","T","0.4","","2","","28","","70",""
"2017-01-14","2017","01","14","‡","-7.1","","-17.2","","-12.2","","30.2","","0.0","","0.0","","0.0","T","0.0","T","1","","18","","33",""
"2017-01-15","2017","01","15","‡","-7.4","","-11.3","","-9.4","","27.4","","0.0","","0.0","","0.0","T","0.0","T","1","","","","<31",""
"2017-01-16","2017","01","16","‡","2.7","","-9.0","","-3.2","","21.2","","0.0","","0.0","","0.0","","0.0","","1","","23","","59",""
"2017-01-17","2017","01","17","‡","-0.4","","-5.3","","-2.9","","20.9","","0.0","","0.0","","1.4","","1.4","","1","","4","","44",""
"2017-01-18","2017","01","18","‡","-1.3","","-5.3","","-3.3","","21.3","","0.0","","0.6","","6.8","","7.0","","3","","4","","37",""
"2017-01-19","2017","01","19","‡","2.0","","-1.3","","0.4","","17.6","","0.0","","0.0","T","0.0","","0.0","T","4","","26","","33",""
"2017-01-20","2017","01","20","‡","2.2","","0.2","","1.2","","16.8","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"2017-01-21","2017","01","21","‡","2.1","","0.3","","1.2","","16.8","","0.0","","0.6","","0.0","","0.6","","2","","","","<31",""
"2017-01-22","2017","01","22","‡","2.1","","-2.6","","-0.3","","18.3","","0.0","","0.0","","0.0","T","0.0","T","1","","4","","54",""
"2017-01-23","2017","01","23","‡","-0.1","","-3.8","","-2.0","","20.0","","0.0","","0.0","T","0.0","","0.0","T","0","T","5","","50",""
"2017-01-24","2017","01","24","‡","-2.3","","-3.8","","-3.1","","21.1","","0.0","","5.6","","7.0","","12.4","","0","T","3","","65",""
"2017-01-25","2017","01","25","‡","0.3","","-2.4","","-1.1","","19.1","","0.0","","0.0","","3.2","","2.6","","4","","24","","39",""
"2017-01-26","2017","01","26","‡","1.4","","0.1","","0.8","","17.2","","0.0","","0.0","","2.2","","1.6","","5","","25","","46",""
"2017-01-27","2017","01","27","‡","0.8","","-3.1","","-1.2","","19.2","","0.0","","0.0","","3.6","","2.6","","4","","25","","63",""
"2017-01-28","2017","01","28","‡","0.2","","-3.0","","-1.4","","19.4","","0.0","","0.0","","0.2","","0.2","","5","","26","","46",""
"2017-01-29","2017","01","29","‡","-0.3","","-6.5","","-3.4","","21.4","","0.0","","0.0","","1.0","","1.0","","5","","22","","37",""
"2017-01-30","2017","01","30","‡","-6.4","","-13.7","","-10.1","","28.1","","0.0","","0.0","","0.0","T","0.0","T","5","","23","","35",""
"2017-01-31","2017","01","31","‡","-7.2","","-17.6","","-12.4","","30.4","","0.0","","0.0","","0.0","T","0.0","T","5","","","","<31",""
